Datum,Abflugort,Zielort,Distanz (Meilen),Flugdauer,Treibstoffverbrauch (Gallons),Emissionen (Metrische Tonnen)
01.01.2024,"Tampa International Airport (TPA) Florida","San Luis County Regional Airport (SBP) San Luis Obispo, California",2300,"4 hours 37 minutes",1500,14
01.01.2024,"San Luis County Regional Airport (SBP) San Luis Obispo, California","San Francisco International Airport (SFO) California",190,"1 hour 9 minutes",380,4
01.01.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Tampa International Airport (TPA) Florida",190,"57 minutes",310,3
02.01.2024,"San Francisco International Airport (SFO) California","Salt Lake City International Airport (SLC) Utah",600,"1 hour 36 minutes",530,5
02.01.2024,"Salt Lake City International Airport (SLC) Utah","Fort Lauderdale Executive Airport (FXE) Florida",2100,"5 hours 15 minutes",1700,16
08.01.2024,"Cancun International Airport (CUN)","Fort Lauderdale Executive Airport (FXE) Florida",560,"1 hour 27 minutes",480,4
08.01.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Cancun International Airport (CUN)",560,"1 hour 3 minutes",350,3
10.01.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Northeast Philadelphia Airport (PNE) Pennsylvania",1000,"2 hours 50 minutes",940,9
10.01.2024,"Northeast Philadelphia Airport (PNE) Pennsylvania","Fort Lauderdale Executive Airport (FXE) Florida",1000,"2 hours 43 minutes",900,8
16.01.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Palm Springs International Airport (PSP) California",2200,"6 hours 15 minutes",2100,19
17.01.2024,"Los Angeles International Airport (LAX) California","Teterboro Airport (TEB) New Jersey",2454,"4 hours 50 minutes",1600,15
17.01.2024,"Palm Springs International Airport (PSP) California","Los Angeles International Airport (LAX) California",110,"56 minutes",310,3
18.01.2024,"Teterboro Airport (TEB) New Jersey","Los Angeles International Airport (LAX) California",2460,"5 hours 26 minutes",1800,16
19.01.2024,"Los Angeles International Airport (LAX) California","Palm Springs International Airport (PSP) California",110,"1 hour 3 minutes",350,3
21.01.2024,"Palm Springs International Airport (PSP) California","Fort Lauderdale Executive Airport (FXE) Florida",2200,"5 hours 37 minutes",1900,17
01.02.2024,"Fort Lauderdale Executive Airport (FXE) Florida","McCarran International Airport (LAS) Las Vegas",2170,"5 hours 34 minutes",1800,17
05.02.2024,"McCarran International Airport (LAS) Las Vegas","Fort Lauderdale Executive Airport (FXE) Florida",2170,"4 hours 24 minutes",1500,13
05.02.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Vidalia Regional Airport (VDI) Georgia",440,"1 hour 15 minutes",410,4
07.02.2024,"Vidalia Regional Airport (VDI) Georgia","Fort Lauderdale Executive Airport (FXE) Florida",440,"57 minutes",310,3
08.02.2024,"Kissimmee Gateway Airport (ISM) Orlando","Centennial Airport (APA) Denver",1500,"3 hours 53 minutes",1300,12
08.02.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Kissimmee Gateway Airport (ISM) Orlando",170,"1 hour 2 minutes",340,3
09.02.2024,"Centennial Airport (APA) Denver","Eagle County Regional Airport (EGE) Vail, Colorado",110,"1 hour 50 minutes",610,6
10.02.2024,"Eagle County Regional Airport (EGE) Vail, Colorado","Fort Lauderdale Executive Airport (FXE) Florida",1800,"4 hours 21 minutes",1400,13
12.02.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Aspen County Airport (ASE Colorado)",1800,"7 hours 4 minutes",2300,21
12.02.2024,"Aspen County Airport (ASE) Colorado","Tampa International Airport (TPA) Florida",1600,"3 hours 37 minutes",1200,11
12.02.2024,"Tampa International Airport (TPA) Florida","Fort Lauderdale Executive Airport (FXE) Florida",190,"54 minutes",300,3
15.02.2024,"Bird International Airport (ANU) Antigua, Antigua and Barbuda","Teterboro Airport (TEB) New Jersey",1800,"4 hours 10 minutes",1300,12
15.02.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Bird International Airport (ANU) Antigua, Antigua and Barbuda",1300,"2 hours 52 minutes",950,9
16.02.2024,"Teterboro Airport (TEB) New Jersey","Joslin Field Magic Valley Regional Airport (TWF) Twin Falls, Idaho",2100,"5 hours 14 minutes",1700,16
17.02.2024,"Los Angeles International Airport (LAX) California","Palm Beach International Airport (PBI) West Palm Beach, Florida",2330,"5 hours 11 minute",1700,15
17.02.2024,"Palm Beach International Airport (PBI) West Palm Beach, Florida","Fort Lauderdale Executive Airport (FXE) Florida",40,"45 minutes",250,2
